id,book,page_num,chapter,chapter_title,section_title,content_length,has_figures,has_equations,has_references,has_captions,n_drawings,n_raster_images,page_type,img_path,qc_status
1462,Fundamental_Neuroscience,961,41,Circadian Timekeeping,THE MOLECULAR BASIS FOR CIRCADIAN OSCILLATION IS A TRANSCRIPTIONAL FEEDBACK LOOP,3340,t,f,f,t,2,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0961.jpg,passed
1010,Fundamental_Neuroscience,509,20,Synapse Elimination,SUMMARY,5270,f,f,f,f,2,0,text,,passed
1013,Fundamental_Neuroscience,512,21,Dendritic Development,DYNAMICS OF DENDRITIC ARBOR DEVELOPMENT,3583,f,f,f,t,3,0,text,,passed
1015,Fundamental_Neuroscience,514,21,Dendritic Development,GENETIC CONTROL OF DENDRITE DEVELOPMENT IN DROSOPHILA,5543,f,f,f,t,1,0,text,,passed
1016,Fundamental_Neuroscience,515,21,Dendritic Development,GENETIC CONTROL OF DENDRITE DEVELOPMENT IN DROSOPHILA,1286,t,f,f,t,2,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0515.jpg,passed
1017,Fundamental_Neuroscience,516,21,Dendritic Development,GENETIC CONTROL OF DENDRITE DEVELOPMENT IN DROSOPHILA,5631,f,f,f,f,1,0,text,,passed
1031,Fundamental_Neuroscience,530,21,Dendritic Development,CONVERGENCE AND DIVERGENCE,932,t,f,f,t,0,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0530.jpg,passed
1020,Fundamental_Neuroscience,519,21,Dendritic Development,EXTRACELLULAR REGULATION OF DENDRITIC DEVELOPMENT IN THE MAMMALIAN BRAIN,5466,f,f,f,t,1,0,text,,passed
1021,Fundamental_Neuroscience,520,21,Dendritic Development,EXTRACELLULAR REGULATION OF DENDRITIC DEVELOPMENT IN THE MAMMALIAN BRAIN,2281,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0520.jpg,passed
1022,Fundamental_Neuroscience,521,21,Dendritic Development,EXTRACELLULAR REGULATION OF DENDRITIC DEVELOPMENT IN THE MAMMALIAN BRAIN,5426,f,f,f,t,3,0,text,,passed
1023,Fundamental_Neuroscience,522,21,Dendritic Development,EXTRACELLULAR REGULATION OF DENDRITIC DEVELOPMENT IN THE MAMMALIAN BRAIN,5379,f,f,f,f,3,0,text,,passed
1085,Fundamental_Neuroscience,584,24,Chemical Senses: Taste and Olfaction,OLFACTION,4484,f,t,f,f,3,0,equation,/home/claude/bri610-tutor/data/textbook_images/FN/p0584.jpg,passed
1086,Fundamental_Neuroscience,585,24,Chemical Senses: Taste and Olfaction,OLFACTION,4799,f,f,f,f,3,0,text,,passed
1087,Fundamental_Neuroscience,586,24,Chemical Senses: Taste and Olfaction,OLFACTION,4588,f,f,f,t,3,0,text,,passed
1123,Fundamental_Neuroscience,622,25,Somatosensory System,THE PATH FROM NOCICEPTION TO PAIN,3784,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0622.jpg,passed
1024,Fundamental_Neuroscience,523,21,Dendritic Development,EXTRACELLULAR REGULATION OF DENDRITIC DEVELOPMENT IN THE MAMMALIAN BRAIN,1490,t,f,f,t,151,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0523.jpg,passed
1027,Fundamental_Neuroscience,526,21,Dendritic Development,EFFECT OF EXPERIENCE ON DENDRITIC DEVELOPMENT,5813,f,f,f,t,1,0,text,,passed
1028,Fundamental_Neuroscience,527,21,Dendritic Development,EFFECT OF EXPERIENCE ON DENDRITIC DEVELOPMENT,3367,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0527.jpg,passed
1029,Fundamental_Neuroscience,528,21,Dendritic Development,MECHANISMS THAT MEDIATE ACTIVITY-DEPENDENT DENDRITIC GROWTH,5376,f,f,f,t,2,0,text,,passed
1030,Fundamental_Neuroscience,529,21,Dendritic Development,CONVERGENCE AND DIVERGENCE,3476,t,f,f,t,65,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0529.jpg,passed
1065,Fundamental_Neuroscience,564,23,Fundamentals of Sensory Systems,CENTRAL PATHWAYS AND PROCESSING,2174,t,f,f,t,444,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0564.jpg,passed
1066,Fundamental_Neuroscience,565,23,Fundamentals of Sensory Systems,SENSORY CORTEX,2827,t,f,f,t,22,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0565.jpg,passed
1067,Fundamental_Neuroscience,566,23,Fundamentals of Sensory Systems,SENSORY CORTEX,4867,t,f,f,t,14,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0566.jpg,passed
1209,Fundamental_Neuroscience,708,29,The Spinal and Peripheral Motor System,SPINAL INTERNEURON NETWORKS,2930,t,f,f,t,73,5,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0708.jpg,passed
1068,Fundamental_Neuroscience,567,23,Fundamentals of Sensory Systems,SENSORY CORTEX,1518,f,f,f,t,18,0,text,,passed
1069,Fundamental_Neuroscience,568,23,Fundamentals of Sensory Systems,SENSORY CORTEX,5509,f,f,f,t,1,0,text,,passed
1071,Fundamental_Neuroscience,570,24,Chemical Senses: Taste and Olfaction,TASTE,3744,f,f,f,f,3,0,text,,passed
1072,Fundamental_Neuroscience,571,24,Chemical Senses: Taste and Olfaction,TASTE,3231,t,t,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0571.jpg,passed
1073,Fundamental_Neuroscience,572,24,Chemical Senses: Taste and Olfaction,TASTE,2806,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0572.jpg,passed
1074,Fundamental_Neuroscience,573,24,Chemical Senses: Taste and Olfaction,TASTE,2945,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0573.jpg,passed
1075,Fundamental_Neuroscience,574,24,Chemical Senses: Taste and Olfaction,TASTE,4242,f,f,f,t,17,0,text,,passed
1076,Fundamental_Neuroscience,575,24,Chemical Senses: Taste and Olfaction,TASTE,4673,f,f,f,t,3,0,text,,passed
1077,Fundamental_Neuroscience,576,24,Chemical Senses: Taste and Olfaction,TASTE,3488,t,t,f,t,292,0,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0576.jpg,passed
1078,Fundamental_Neuroscience,577,24,Chemical Senses: Taste and Olfaction,TASTE,3956,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0577.jpg,passed
1079,Fundamental_Neuroscience,578,24,Chemical Senses: Taste and Olfaction,TASTE,4513,f,t,f,t,3,0,equation,/home/claude/bri610-tutor/data/textbook_images/FN/p0578.jpg,passed
1083,Fundamental_Neuroscience,582,24,Chemical Senses: Taste and Olfaction,OLFACTION,1973,f,t,f,t,6,0,equation,/home/claude/bri610-tutor/data/textbook_images/FN/p0582.jpg,passed
1088,Fundamental_Neuroscience,587,24,Chemical Senses: Taste and Olfaction,OLFACTION,2542,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0587.jpg,passed
1089,Fundamental_Neuroscience,588,24,Chemical Senses: Taste and Olfaction,OLFACTION,5286,f,f,f,t,1,0,text,,passed
1090,Fundamental_Neuroscience,589,24,Chemical Senses: Taste and Olfaction,OLFACTION,3841,t,f,f,t,1,2,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0589.jpg,passed
1091,Fundamental_Neuroscience,590,24,Chemical Senses: Taste and Olfaction,OLFACTION,4061,f,f,f,f,4,0,text,,passed
1204,Fundamental_Neuroscience,703,29,The Spinal and Peripheral Motor System,CONNECTING THE SPINAL CORD TO THE PERIPHERY,1131,t,f,f,t,1,1,mixed,/home/claude/bri610-tutor/data/textbook_images/FN/p0703.jpg,passed
